Timestamp,Action,Reward,Action Label,Cumulative Reward
11,0,0.0,Buy,0.0
12,0,0.0,Buy,0.0
13,0,0.0,Buy,0.0
14,0,0.0,Buy,0.0
15,2,-0.1,Hold,-0.1
16,1,11.0,Sell,10.9
17,1,9.1,Sell,20.0
18,1,9.1,Sell,29.1
19,0,0.0,Buy,29.1
20,0,0.0,Buy,29.1
21,0,0.0,Buy,29.1
22,2,-0.1,Hold,29.0
23,1,7.9,Sell,36.9
24,0,0.0,Buy,36.9
25,0,0.0,Buy,36.9
26,1,1.9,Sell,38.800003
27,1,5.05,Sell,43.850002
28,0,0.0,Buy,43.850002
29,0,0.0,Buy,43.850002
30,1,7.05,Sell,50.9
31,1,14.6,Sell,65.5
32,1,11.0,Sell,76.5
33,1,3.0,Sell,79.5
34,1,0.24,Sell,79.74
35,1,0.0,Sell,79.74
36,1,0.0,Sell,79.74
37,0,0.0,Buy,79.74
38,2,-0.1,Hold,79.64
39,0,0.0,Buy,79.64
40,0,0.0,Buy,79.64
41,1,8.55,Sell,88.19
42,0,0.0,Buy,88.19
43,1,5.89,Sell,94.08
44,1,-5.0,Sell,89.08
45,1,6.88,Sell,95.96
46,2,-0.1,Hold,95.86
47,0,0.0,Buy,95.86
48,0,0.0,Buy,95.86
49,0,0.0,Buy,95.86
50,1,0.9,Sell,96.76
51,1,18.0,Sell,114.76
52,0,0.0,Buy,114.76
53,1,7.0,Sell,121.76
54,2,-0.1,Hold,121.66
55,2,-0.1,Hold,121.560005
56,1,10.6,Sell,132.16
57,1,0.0,Sell,132.16
58,2,-0.1,Hold,132.06
59,0,0.0,Buy,132.06
60,2,-0.1,Hold,131.95999
61,2,-0.1,Hold,131.85999
62,2,-0.1,Hold,131.75998
63,1,12.1,Sell,143.85999
64,0,0.0,Buy,143.85999
65,0,0.0,Buy,143.85999
66,1,12.7,Sell,156.55998
67,0,0.0,Buy,156.55998
68,1,19.99,Sell,176.54999
69,0,0.0,Buy,176.54999
70,1,2.0,Sell,178.54999
71,2,-0.1,Hold,178.44998
72,0,0.0,Buy,178.44998
73,1,3.0,Sell,181.44998
74,2,-0.1,Hold,181.34998
75,0,0.0,Buy,181.34998
76,2,-0.1,Hold,181.24997
10,0,0.0,Buy,181.24997
